set,scenario,dS_rel,dVol_pts,dRate_bp,horizon_d,P&L,source,PnL_taylor,taylor_error,taylor_error_pct,pct_of_book
HISTORICAL,2022 rates repricing,-25.0%,+15,+400,252,-785465.53,"S&P 500 and 2Y UST, calendar 2022",-1111456.8939092634,-325991.3639092634,-0.41502949710506504,-0.4725189927589318
HISTORICAL,Lehman / GFC 2008,-30.0%,+45,-150,20,-607146.34,"S&P 500 and VIX, Sep-Nov 2008",-1082809.3768004032,-475663.03680040326,-0.78344050760547,-0.3652460433675198
HISTORICAL,COVID crash 2020,-34.0%,+60,-150,23,-484394.32,"S&P 500 and VIX, 19 Feb - 23 Mar 2020",-916575.077828512,-432180.75782851194,-0.8922085581608635,-0.2914010958374554
HISTORICAL,Black Monday 1987,-20.4%,+50,-100,1,-451436.26,"S&P 500 one-day close-to-close, 19 Oct 1987",-306289.5651424236,145146.6948575764,0.32152201255959456,-0.2715742432007923
HISTORICAL,Volmageddon 2018,-4.1%,+20,-10,1,-98301.89,"S&P 500 and VIX, 5 Feb 2018",-69417.67660707662,28884.213392923382,0.29383171974540245,-0.05913628068325202
HISTORICAL,Aug 2024 carry unwind,-3.0%,+38,-20,1,-1267.77,"S&P 500 and VIX, 5 Aug 2024",188970.9997351686,190238.76973516858,150.05779418598686,-0.0007626628802539444
HYPOTHETICAL,"Spot -10%, vol unchanged",-10.0%,+0,+0,5,-437669.86,hypothetical: sell-off with no vol bid,-423065.76175408775,14604.098245912232,0.033367840878767006,-0.26329267613836943
HYPOTHETICAL,"Rates +200bp, spot flat",+0.0%,+0,+200,20,74107.88,hypothetical,72270.92533148738,-1836.954668512626,-0.024787575471226894,0.04458169006232494
HYPOTHETICAL,"Spot flat, vol -30%",+0.0%,-30,+0,1,111549.49,hypothetical,241251.78848531112,129702.29848531111,1.1627332270664,0.06710574894046914
HYPOTHETICAL,"Spot +10%, vol -10 pts",+10.0%,-10,+0,5,263679.33,hypothetical,308376.01536998875,44696.68536998873,0.16951152511646903,0.15862375453057753
HYPOTHETICAL,"Spot +15%, vol +15 pts",+15.0%,+15,+0,5,349166.97,"hypothetical: correlation breakdown, up-crash",265071.1088541671,-84095.86114583287,-0.2408471257915171,0.21005126089885592
